"","all_genes_used"
"1356","HIST4H4"
"1357","HIPK1"
"1358","MFAP1"
"1359","C1orf130"
"1360","NT5C2"
"1361","LMAN2"
"1362","RCC1"
"1363","MRPS6"
"1364","LAYN"
"1365","KLHDC3"
"1366","TMEM203"
"1367","ADH1B"
"1368","C14orf176"
"1369","MFSD11"
"1370","RHCG"
"1371","TAPBPL"
"1372","C15orf58"
"1373","RCVRN"
"1374","NGF"
"1375","KIRREL"
"1376","LRRC39"
"1377","RYR3"
"1378","LOC100506136"
"1379","TNFRSF19"
"1380","LOC284023"
"1381","LOC100144604"
"1382","C19orf52"
"1383","TEN1-CDK3"
"1384","ZNF492"
"1385","ITGA2B"
"1386","PNMA5"
"1387","FCRLA"
"1388","ZBTB34"
"1389","CHRNE"
"1390","APOBR"
"1391","CCRL2"
"1392","AMICA1"
"1393","RPS16"
"1394","ADRA2A"
"1395","IFI30"
"1396","PNKD"
"1397","TBC1D8B"
"1398","SIGLEC7"
"1399","RPUSD3"
"1400","AVEN"
"1401","GGA2"
"1402","LOC283710"
"1403","HDAC11"
"1404","PRSS3"
"1405","RGS4"
"1406","PRICKLE2"
"1407","PIK3R4"
"1408","CYP3A5"
"1409","LBR"
"1410","GRK4"
"1411","B3GNT4"
"1412","GPBP1L1"
"1413","TUBE1"
"1414","MAGEE1"
"1415","PHIP"
"1416","SIRT3"
"1417","CTDSP2"
"1418","GAR1"
"1419","DHX57"
"1420","OTX2"
"1421","NDUFA4L2"
"1422","FAM66D"
"1423","PTGES"
"1424","CARNS1"
"1425","CC2D2B"
"1426","UBXN2A"
"1427","SRPK2"
"1428","SRGAP3"
"1429","LAMTOR3"
"1430","ZDHHC11"
"1431","ZPBP2"
"1432","CACNA2D3"
"1433","RAB27B"
"1434","KLF16"
"1435","VAPB"
"1436","HLA-DPA1"
"1437","MYO6"
"1438","VRTN"
"1439","EPN1"
"1440","LYPLA1"
"1441","ZNF382"
"1442","FAM25A"
"1443","C2orf29"
"1444","FSTL1"
"1445","NEXN"
"1446","FAM212B"
"1447","RFT1"
"1448","C8orf4"
"1449","SIGLEC15"
"1450","TSGA10IP"
"1451","SFI1"
"1452","EVI2A"
"1453","YBX1"
"1454","ACSL6"
"1455","CACNB1"
"1456","LOC100129316"
"1457","STXBP5"
"1458","APOO"
"1459","ZNF224"
"1460","GPR84"
"1461","TMEM17"
"1462","C2orf48"
"1463","EMP2"
"1464","CD38"
"1465","GLT8D2"
"1466","H19"
"1467","NFS1"
"1468","TEP1"
"1469","KHDRBS3"
"1470","RAD21-AS1"
"1471","MDH2"
"1472","INPP5K"
"1473","ARL14"
"1474","SEMA3G"
"1475","CYP2W1"
"1476","SCGB1D2"
"1477","ACOX2"
"1478","XKR8"
"1479","PM20D2"
"1480","GTF3C1"
"1481","LOC113230"
"1482","GPR153"
"1483","ATP5G1"
"1484","DDX12P"
"1485","NCF1C"
"1486","C9orf40"
"1487","PRPF18"
"1488","RDBP"
"1489","STK38L"
"1490","PRELID2"
"1491","WDR12"
"1492","CACNA1F"
"1493","IFFO2"
"1494","C3orf67"
"1495","TEX2"
"1496","HOXA-AS3"
"1497","ENTPD4"
"1498","FAM55D"
"1499","GAS7"
"1500","EIF2C2"
"1501","MCF2L-AS1"
"1502","IL23A"
"1503","MAFB"
"1504","RHBDD1"
"1505","TOR2A"
"1506","CTSH"
"1507","IGIP"
"1508","CDH8"
"1509","SLCO2A1"
"1510","TMEM160"
"1511","PET117"
"1512","C20orf26"
"1513","ZNF770"
"1514","DHRS4"
"1515","PLXNA1"
"1516","PIGV"
"1517","EIF4E3"
"1518","ABCC6"
"1519","NR2C2"
"1520","E2F6"
"1521","TUBD1"
"1522","C12orf29"
"1523","ISCA2"
"1524","AMBP"
"1525","LAMP5"
"1526","RNF14"
"1527","ZNF407"
"1528","SLC18A1"
"1529","LINC00339"
"1530","TRAPPC6A"
"1531","RPTOR"
"1532","PPP1R1B"
"1533","MIXL1"
"1534","SDHAF2"
"1535","TMEFF2"
"1536","HIST1H4L"
"1537","TRIM49L2"
"1538","PTCHD1"
"1539","NCR3"
"1540","CTSL1"
"1541","RABAC1"
"1542","PTPN12"
"1543","BARX1"
"1544","HMGA1P7"
"1545","ABCB1"
"1546","CSRNP3"
"1547","MAGEA12"
"1548","SNAP91"
"1549","ZFP62"
"1550","TTC37"
"1551","ASB9"
"1552","LHPP"
"1553","METTL3"
"1554","NOB1"
"1555","FCGR2A"
"1556","EPHB3"
"1557","WDR77"
"1558","KLK13"
"1559","FMN2"
"1560","ANKRD27"
"1561","CLDN12"
"1562","PRICKLE3"
"1563","BLOC1S1"
"1564","C4BPA"
"1565","EBI3"
"1566","LSMD1"
"1567","GPR97"
"1568","KRT82"
"1569","USO1"
"1570","HIST1H1D"
"1571","NCOA7"
"1572","COPZ1"
"1573","ASB15"
"1574","BRWD1"
"1575","HIST1H3F"
"1576","PTGFR"
"1577","HHEX"
"1578","ACPL2"
"1579","ZBTB33"
"1580","NEK5"
"1581","HIST1H4H"
"1582","RPP40"
"1583","MACF1"
"1584","SYT3"
"1585","KIF26A"
"1586","IL15RA"
"1587","SLAIN2"
"1588","DYNC2H1"
"1589","EFCAB4B"
"1590","YIPF1"
"1591","TTC16"
"1592","KCNE1"
"1593","ANAPC7"
"1594","PRSS50"
"1595","PLA2G7"
"1596","PLAUR"
"1597","MC4R"
"1598","NKIRAS2"
"1599","RBBP9"
"1600","FBLIM1"
"1601","MYO1B"
"1602","AOAH"
"1603","FAM32A"
"1604","FAM180A"
"1605","COL13A1"
"1606","IL17RA"
"1607","H2AFZ"
"1608","SERPINF2"
"1609","FAM72D"
"1610","FAIM3"
"1611","C3"
"1612","ST6GALNAC6"
"1613","LOC151009"
"1614","MGC16275"
"1615","CARM1"
"1616","ARHGAP11A"
"1617","PLA2G2D"
"1618","COQ10A"
"1619","DBNL"
"1620","SLC31A2"
"1621","PKLR"
"1622","TRIM14"
"1623","FGF18"
"1624","TCTE1"
"1625","SNX29P2"
"1626","DDX49"
"1627","RNF8"
"1628","LY6G6D"
"1629","BMPR2"
"1630","TRIM62"
"1631","HPGD"
"1632","TOMM7"
"1633","CETP"
"1634","ZNF815"
"1635","WDR27"
"1636","CECR6"
"1637","FAM71F1"
"1638","TMTC1"
"1639","PHKG1"
"1640","PDGFD"
"1641","SNRNP200"
"1642","KCNG2"
"1643","SPRY4"
"1644","SGMS1"
"1645","GPR18"
"1646","MARVELD2"
"1647","FAM135B"
"1648","MRPL49"
"1649","CCKAR"
"1650","GBA3"
"1651","DPY19L1"
"1652","GALNT2"
"1653","RHOA"
"1654","C1orf135"
"1655","CTNNAL1"
"1656","LOC730102"
"1657","HEATR3"
"1658","PRR4"
"1659","GPR4"
"1660","GPR172A"
"1661","NKG7"
"1662","ELN"
"1663","ZDHHC3"
"1664","FBXW10"
"1665","ANKRD30B"
"1666","FBXO2"
"1667","ZNF702P"
"1668","MASP1"
"1669","WTH3DI"
"1670","SIGLEC5"
"1671","EID2B"
"1672","KCTD9"
"1673","SAMHD1"
"1674","CDKN2D"
"1675","RAB20"
"1676","WBP4"
"1677","MLEC"
"1678","RNASE6"
"1679","STK31"
"1680","INSIG2"
"1681","NLRP10"
"1682","LEPROTL1"
"1683","MLYCD"
"1684","PLEKHH2"
"1685","APOL3"
"1686","TMEM168"
"1687","LOC728606"
"1688","NFU1"
"1689","IFI27"
"1690","ACAD11"
"1691","ARHGAP40"
"1692","FAM82A1"
"1693","CA11"
"1694","SLC12A5"
"1695","CD52"
"1696","TDG"
"1697","ARFGEF2"
"1698","KCNK15"
"1699","GLIS2"
"1700","BHLHA15"
"1701","UBR4"
"1702","C7orf63"
"1703","ZNF346"
"1704","NOSTRIN"
"1705","SORCS1"
"1706","LPAR6"
"1707","ZNF195"
"1708","NCF1"
"1709","LENG9"
"1710","FAM57B"
"1711","PPP1R37"
"1712","LINC00161"
"1713","ZNF445"
"1714","GAB2"
"1715","C2orf47"
"1716","PRPF39"
"1717","KCNJ8"
"1718","TRIM55"
"1719","FAM195A"
"1720","C10orf55"
"1721","DST"
"1722","PSMD4"
"1723","CHCHD8"
"1724","FAM75C2"
"1725","PWWP2B"
"1726","MEST"
"1727","DENND1A"
"1728","F2"
"1729","PLEKHB2"
"1730","MTMR6"
"1731","FAM81A"
"1732","FAM158A"
"1733","ZNF562"
"1734","ZNF253"
"1735","KRT33B"
"1736","PHF20"
"1737","ACBD7"
"1738","COX7A2L"
"1739","PNMT"
"1740","TSEN34"
"1741","LAMA2"
"1742","HSPA1A"
"1743","SIL1"
"1744","EFCAB6"
"1745","LOC100288846"
"1746","ZNF547"
"1747","TRIM6"
"1748","TMEM14E"
"1749","TMEM47"
"1750","BTG3"
"1751","TNFAIP2"
"1752","UBE2B"
"1753","ANKRD16"
"1754","LRG1"
"1755","ZNF12"
"1756","SVOP"
"1757","SUMO1"
"1758","FARSA"
"1759","DDX6"
"1760","C20orf20"
"1761","CCZ1B"
"1762","SRSF4"
"1763","POLR2G"
"1764","SNX5"
"1765","TREML3"
"1766","KIAA1644"
"1767","SDR9C7"
"1768","LOC100506660"
"1769","CCDC88C"
"1770","F2RL2"
"1771","LRMP"
"1772","FAM122C"
"1773","PMEPA1"
"1774","DMRTB1"
"1775","SECISBP2L"
"1776","DENND1C"
"1777","HSD3B7"
"1778","LRRC4C"
"1779","DHX36"
"1780","ACOX3"
"1781","RBX1"
"1782","TMEM101"
"1783","POLB"
"1784","ZNF575"
"1785","FRMPD4"
"1786","MAPK7"
"1787","ADAM12"
"1788","TBX21"
"1789","TMPRSS9"
"1790","NCAPD2"
"1791","TOX3"
"1792","RDX"
"1793","AHCYL2"
"1794","HERC5"
"1795","GRPEL1"
"1796","ATG5"
"1797","CRAT"
"1798","C16orf46"
"1799","SFRP4"
"1800","SH3KBP1"
"1801","SORCS3"
"1802","LOC91450"
"1803","CAMK4"
"1804","TKTL1"
"1805","GAGE2D"
"1806","COASY"
"1807","BBOX1"
"1808","RGL2"
"1809","METTL12"
"1810","WDR82"
"1811","JPH2"
"1812","CYP27C1"
"1813","ZNF81"
"1814","KIF21A"
"1815","FAM18B1"
"1816","TBC1D26"
"1817","C11orf57"
"1818","MYOF"
"1819","DUSP16"
"1820","GPR137"
"1821","PRSS21"
"1822","SCRIB"
"1823","VAC14"
"1824","TMCC1"
"1825","KIAA0922"
"1826","TPT1-AS1"
"1827","STX16-NPEPL1"
"1828","ANKRD30BP2"
"1829","RBP4"
"1830","CALU"
"1831","MUC21"
"1832","DNAAF1"
"1833","SLC26A5"
"1834","GCK"
"1835","RALGPS1"
"1836","LOC440040"
"1837","HAVCR2"
"1838","AMN1"
"1839","SH3BP4"
"1840","SLC10A3"
"1841","ALDH3A1"
"1842","ARHGAP18"
"1843","MACROD1"
"1844","UPK3A"
"1845","HIGD1B"
"1846","UBE2J1"
"1847","RPL36"
"1848","ATP5E"
"1849","ERN1"
"1850","NCSTN"
"1851","INHBC"
"1852","IL12B"
"1853","LPAR1"
"1854","IFT80"
"1855","TES"
"1856","TLR10"
"1857","FGFR1OP2"
"1858","TULP3"
"1859","LXN"
"1860","PGLS"
"1861","ISG20L2"
"1862","GJA3"
"1863","TIMM8B"
"1864","SHPRH"
"1865","LOC653653"
"1866","TCAP"
"1867","PGM2L1"
"1868","ENDOG"
"1869","KIAA0895L"
"1870","HOXB9"
"1871","TFG"
"1872","SERPINB11"
"1873","LOC100129138"
"1874","PITPNM1"
"1875","FBXO8"
"1876","HEPACAM2"
"1877","EIF1B"
"1878","PRPS1"
"1879","INPP1"
"1880","SLC5A11"
"1881","IFIT2"
"1882","FER1L4"
"1883","FAM190B"
"1884","LOC100507194"
"1885","ZNF432"
"1886","MMP2"
"1887","HYDIN"
"1888","UGT1A10"
"1889","ABCC11"
"1890","MYBL1"
"1891","LDB3"
"1892","HEYL"
"1893","CHST5"
"1894","DOCK6"
"1895","SLC37A3"
"1896","FRYL"
"1897","NUAK2"
"1898","ZNF548"
"1899","USP32P2"
"1900","ZIC5"
"1901","CXCL10"
"1902","TOMM40"
"1903","PTS"
"1904","RUVBL2"
"1905","DHX32"
"1906","PRSS16"
"1907","GPR1"
"1908","TNFRSF13B"
"1909","USP24"
"1910","ATXN7"
"1911","ME3"
"1912","APOBEC3C"
"1913","C3AR1"
"1914","TXNRD3"
"1915","KRT40"
"1916","CLPTM1L"
"1917","HSPBP1"
"1918","STXBP2"
"1919","ELOVL7"
"1920","AKR7A2P1"
"1921","BAP1"
"1922","KIAA1683"
"1923","TEX29"
"1924","LOC100294145"
"1925","C16orf89"
"1926","TTC24"
"1927","FKBP7"
"1928","FAM18A"
"1929","PSD"
"1930","SLC23A2"
"1931","KLHL3"
"1932","CHD5"
"1933","TRIM3"
"1934","C11orf21"
"1935","CMTM5"
"1936","COPS2"
"1937","LOC100131094"
"1938","ZNF792"
"1939","NIPAL1"
"1940","ADAMTS9-AS2"
"1941","ABHD14B"
"1942","EIF3K"
"1943","TSSC1"
"1944","NPHS1"
"1945","RABL2A"
"1946","PTEN"
"1947","FAM171B"
"1948","TRIM59"
"1949","ZNF264"
"1950","FAM3B"
"1951","BRAT1"
"1952","STRADB"
"1953","POLR2L"
"1954","CFL1"
"1955","LOC79015"
"1956","PRSS56"
"1957","SSX6"
"1958","ACOXL"
"1959","RFWD2"
"1960","COL1A2"
"1961","HOXB4"
"1962","C4orf17"
"1963","FAM127A"
"1964","ANKRD46"
"1965","C6orf70"
"1966","FLCN"
"1967","C12orf33"
"1968","MLL5"
"1969","SAPCD2"
"1970","IGLL5"
"1971","VGLL2"
"1972","FGFR2"
"1973","MAT2A"
"1974","CD14"
"1975","HIST1H4F"
"1976","TRIM5"
"1977","PCF11"
"1978","SLC25A36"
"1979","SETD8"
"1980","GABRA1"
"1981","HLCS"
"1982","MAMSTR"
"1983","FBXL2"
"1984","LOC100506233"
"1985","TRHDE"
"1986","ZFX"
"1987","FAM134C"
"1988","PLCB1"
"1989","SOX18"
"1990","DCAF4L1"
"1991","C1orf233"
"1992","BCL7B"
"1993","SDHAP3"
"1994","ADAM28"
"1995","SLITRK5"
"1996","GYG2"
"1997","STK4"
"1998","TAF11"
"1999","SH3GLB1"
"2000","SH2D3A"
"2001","GYG1"
"2002","ITGA11"
"2003","FKBP3"
"2004","SEMA6D"
"2005","CDC16"
"2006","FRK"
"2007","MKKS"
"2008","ZNF765"
"2009","GK3P"
"2010","HERC1"
"2011","NUMB"
"2012","ANP32B"
"2013","ST5"
"2014","GFRA3"
"2015","NUBP2"
"2016","ZFYVE27"
"2017","TTC19"
"2018","CARKD"
"2019","WDR86"
"2020","KRTCAP3"
"2021","FAM186B"
"2022","FBXO17"
"2023","IQCH"
"2024","SBSN"
"2025","ATP5O"
"2026","ESM1"
"2027","FAM176B"
"2028","RHEBL1"
"2029","PNPLA8"
"2030","FGD1"
"2031","OTUD4"
"2032","ANGPT1"
"2033","LRP10"
"2034","GJB7"
"2035","LOC100130557"
"2036","RELT"
"2037","BUD31"
"2038","LOC147670"
"2039","GLCCI1"
"2040","PTK2"
"2041","HK1"
"2042","CREB3"
"2043","TMPRSS5"
"2044","GLIPR1"
"2045","MRGPRF"
"2046","IPO5"
"2047","KCTD11"
"2048","ENTPD5"
"2049","DLGAP1"
"2050","PELI2"
"2051","PLA2G16"
"2052","CSRP2"
"2053","LOC100506083"
"2054","LOC730091"
"2055","CD300LB"
"2056","PLD3"
"2057","THBS2"
"2058","DAZL"
"2059","DHODH"
"2060","GREM1"
"2061","GSTM4"
"2062","SLCO4C1"
"2063","TMEM150B"
"2064","KIAA0513"
"2065","DHX29"
"2066","DPY30"
"2067","SLC6A16"
"2068","C10orf91"
"2069","SLC6A12"
"2070","CYBRD1"
"2071","PRB2"
"2072","TMEM57"
"2073","TTC35"
"2074","CD72"
"2075","LOC100505678"
"2076","ABCA8"
"2077","ATP6V0C"
"2078","COL3A1"
"2079","TMIGD2"
"2080","TEX22"
"2081","C12orf44"
"2082","PPID"
"2083","TMEM173"
"2084","LMX1B"
"2085","LIMD2"
"2086","THADA"
"2087","NECAB1"
"2088","HSPB2"
"2089","PDCD6IP"
"2090","GMNN"
"2091","LOC285889"
"2092","GPR34"
"2093","SEC11A"
"2094","ZNF667"
"2095","ZNF429"
"2096","IL10"
"2097","ZNF844"
"2098","LRRCC1"
"2099","LOC399715"
"2100","GEMIN2"
"2101","DPT"
"2102","TRIP12"
"2103","UBFD1"
"2104","DUS4L"
"2105","PLD4"
"2106","HES4"
"2107","PCAT1"
"2108","CSTF2"
"2109","ABR"
"2110","SURF6"
"2111","HGD"
"2112","LOC100505933"
"2113","ZNF395"
"2114","O3FAR1"
"2115","PITX2"
"2116","ACTR6"
"2117","NCKAP5L"
"2118","CLPX"
"2119","NDUFA6"
"2120","BLZF1"
"2121","RRNAD1"
"2122","COL5A2"
"2123","SYAP1"
"2124","RNF149"
"2125","CD200R1"
"2126","PPP6R2"
"2127","SLC2A3"
"2128","MRPL43"
"2129","PPP2R5C"
"2130","MEA1"
"2131","BEND4"
"2132","CCNT2"
"2133","FOXJ2"
"2134","SBF1"
"2135","DFNB31"
"2136","KCTD10"
"2137","PPP1R26"
"2138","TSSC4"
"2139","SOX5"
"2140","DIAPH1"
"2141","EVL"
"2142","SLC2A12"
"2143","MAGED1"
"2144","SLC26A11"
"2145","TGFBI"
"2146","HOOK3"
"2147","GFRA1"
"2148","HCFC1R1"
"2149","CD79B"
"2150","TMCO6"
"2151","FLJ38576"
"2152","ZNF772"
"2153","AHRR"
"2154","LOC100130992"
"2155","LGI1"
"2156","HCN4"
"2157","GNLY"
"2158","FAM90A25P"
"2159","ZDHHC22"
"2160","EIF3I"
"2161","MIR205HG"
"2162","YTHDC1"
"2163","SAP25"
"2164","C2orf63"
"2165","PPYR1"
"2166","C19orf26"
"2167","UPF3B"
"2168","MMP14"
"2169","METTL18"
"2170","C1orf212"
"2171","HIPK2"
"2172","DHRS4L2"
"2173","ZNF426"
"2174","CASC3"
"2175","MORN1"
"2176","STAC3"
"2177","CCDC103"
"2178","TRIM24"
"2179","SLC30A7"
"2180","TIAM1"
"2181","CLEC16A"
"2182","GOLGA8B"
"2183","KLRK1"
"2184","ENPEP"
"2185","GPRC5D"
"2186","LINGO3"
"2187","LOC646324"
"2188","SPNS1"
"2189","TMEM114"
"2190","LOC100287722"
"2191","SNAPC3"
"2192","ACE2"
"2193","FSD1L"
"2194","AFP"
"2195","FAM198A"
"2196","POLR1C"
"2197","NXN"
"2198","C10orf128"
"2199","WHAMMP2"
"2200","TTLL7"
"2201","LNX1"
"2202","IFT57"
"2203","YIF1A"
"2204","CHGB"
"2205","L1TD1"
"2206","CHEK1"
"2207","RNF38"
"2208","CCT6A"
"2209","GGT7"
"2210","EIF1AD"
"2211","MAP1S"
"2212","NKX3-1"
"2213","FOSL1"
"2214","S100A7"
"2215","GPM6A"
"2216","SLC6A10P"
"2217","DYRK4"
"2218","PCNA"
"2219","CCDC144C"
"2220","TLL1"
"2221","LOC100506801"
"2222","CDC25B"
"2223","COQ6"
"2224","ING4"
"2225","CDNF"
"2226","FAM13A"
"2227","LOC100132352"
"2228","LINGO2"
"2229","THOC3"
"2230","IQGAP3"
"2231","GPX1"
"2232","BRWD1-IT2"
"2233","SNRPF"
"2234","UCHL5"
"2235","P2RX1"
"2236","NHLH1"
"2237","ZNF783"
"2238","FLJ13197"
"2239","FEZF2"
"2240","MIR497HG"
"2241","TMCO3"
"2242","LOC100129726"
"2243","GPR63"
"2244","RABL5"
"2245","ZNF334"
"2246","IDH1"
"2247","DZIP1L"
"2248","SST"
"2249","ZNF136"
"2250","ZNF540"
"2251","DBP"
"2252","CLDN10"
"2253","HSPB11"
"2254","STAT1"
"2255","NDUFV2"
"2256","TGS1"
"2257","ZNF417"
"2258","GNAL"
"2259","UGT8"
"2260","DNAJC27-AS1"
"2261","TSC22D2"
"2262","PDE5A"
"2263","MED20"
"2264","OTUD3"
"2265","LOC100507582"
"2266","CD1C"
"2267","PDZRN4"
"2268","BATF"
"2269","LINC00085"
"2270","ERCC5"
"2271","PLA1A"
"2272","KRT12"
"2273","RBM38"
"2274","CEBPB"
"2275","FAM27A"
"2276","HHLA3"
"2277","CYP2R1"
"2278","UNKL"
"2279","IFITM3"
"2280","CNOT2"
"2281","WBP2"
"2282","VIPR1"
"2283","ZNF782"
"2284","RIT1"
"2285","FAM116B"
"2286","CD244"
"2287","ATOH7"
"2288","COQ4"
"2289","SLC16A13"
"2290","TTN"
"2291","SCGB2A1"
"2292","TMPRSS3"
"2293","EMR3"
"2294","ADAMTS7"
"2295","FTSJD1"
"2296","PNPO"
"2297","LOC100506990"
"2298","CHST2"
"2299","FAIM"
"2300","PTGDR2"
"2301","NEU3"
"2302","HYAL3"
"2303","TGFB1I1"
"2304","ZNF880"
"2305","CCL4"
"2306","C16orf53"
"2307","LOC645431"
"2308","FES"
"2309","LOC729234"
"2310","ZNF45"
"2311","PI4KA"
"2312","SRR"
"2313","ZBTB2"
"2314","EDNRB"
"2315","FAM120B"
"2316","ADAMTS6"
"2317","MGLL"
"2318","GTF2H1"
"2319","SCPEP1"
"2320","TULP1"
"2321","C20orf43"
"2322","HIST3H2BB"
"2323","ZNF124"
"2324","LOC100129534"
"2325","FAM125A"
"2326","CLDN14"
"2327","SUMO3"
"2328","USP32P1"
"2329","MRE11A"
"2330","SURF1"
"2331","TG"
"2332","CKLF"
"2333","LRRC37BP1"
"2334","MBD4"
"2335","COL1A1"
"2336","KLHL22"
"2337","ANKRD65"
"2338","LYSMD1"
"2339","RNF130"
"2340","YEATS2"
"2341","UTY"
"2342","ADAMTS15"
"2343","MSTN"
"2344","PSMA7"
"2345","PHYHIPL"
"2346","HERPUD1"
"2347","FAM69C"
"2348","GRID1"
"2349","ANGPTL2"
"2350","AZGP1"
"2351","NUDT11"
"2352","S1PR5"
"2353","CXorf38"
"2354","TJP3"
"2355","KDM5A"
"2356","LCE1F"
"2357","MLL3"
"2358","PRMT10"
"2359","ADAMDEC1"
"2360","NAGA"
"2361","ATR"
"2362","MRPL39"
"2363","CYP17A1"
"2364","CSMD3"
"2365","DNAJA3"
"2366","CHD8"
"2367","HSPA7"
"2368","PODN"
"2369","DDX27"
"2370","PSMD8"
"2371","CDKL2"
"2372","PXDN"
"2373","DKK2"
"2374","CWF19L1"
"2375","ING2"
"2376","FPR1"
"2377","PRAF2"
"2378","PLA2R1"
"2379","HOXC8"
"2380","PIF1"
"2381","PRKAG3"
"2382","TOR1AIP2"
"2383","NPY1R"
"2384","PDE6D"
"2385","LOC339442"
"2386","C22orf15"
"2387","AVPR1A"
"2388","RGS22"
"2389","C6"
"2390","SLC16A7"
"2391","UTS2R"
"2392","FAS-AS1"
"2393","PGK1"
"2394","KRBA1"
"2395","WNT7A"
"2396","NUP210"
"2397","GP2"
"2398","NCF1B"
"2399","PDCL2"
"2400","HPS1"
"2401","ATAD2"
"2402","EFHC1"
"2403","TRIB1"
"2404","PRR12"
"2405","LOC255480"
"2406","ALG1L"
"2407","LOC283663"
"2408","EXD3"
"2409","ACRC"
"2410","OSGEP"
"2411","C17orf66"
"2412","PRG2"
"2413","ACOT8"
"2414","ERH"
"2415","BFSP2"
"2416","LEMD1"
"2417","ASGR2"
"2418","AKAP9"
"2419","MAPKAPK5"
"2420","PDCD5"
"2421","PGBD5"
"2422","LDB1"
"2423","USP9X"
"2424","CTCF"
"2425","DCHS2"
"2426","METTL1"
"2427","BTN3A3"
"2428","MYOZ1"
"2429","MEIS3"
"2430","PARD6A"
"2431","HCST"
"2432","C10orf46"
"2433","MAFK"
"2434","LRRC43"
"2435","ZNF606"
"2436","CST6"
"2437","TGM6"
"2438","DIP2B"
"2439","CASP9"
"2440","SUPT3H"
"2441","METTL7B"
"2442","KHSRP"
"2443","BCL9L"
"2444","ATP5F1"
"2445","DHX58"
"2446","DNAJA4"
"2447","SMYD2"
"2448","AVL9"
"2449","C11orf53"
"2450","LOC144571"
"2451","LATS1"
"2452","NDUFB6"
"2453","KCNK7"
"2454","MPP2"
"2455","TXNL4B"
"2456","LILRA4"
"2457","HNRNPH1"
"2458","CYTH3"
"2459","SCG2"
"2460","ZWILCH"
"2461","VGLL3"
"2462","C20orf96"
"2463","LOC146336"
"2464","TRIP4"
"2465","MAFG-AS1"
"2466","SPRR2F"
"2467","CASP8"
"2468","RPS28"
"2469","LOC100289230"
"2470","FUT10"
"2471","FZD2"
"2472","LETM2"
"2473","HECW2"
"2474","CNGA3"
"2475","TARSL2"
"2476","BDP1"
"2477","TMEM198B"
"2478","NFATC3"
"2479","ATP1A2"
"2480","PRR3"
"2481","ABL1"
"2482","PCDHGA7"
"2483","DUSP13"
"2484","CLSTN1"
"2485","ELK3"
"2486","MLLT10P1"
"2487","CD3EAP"
"2488","TSFM"
"2489","RIOK1"
"2490","FOLR2"
"2491","DIDO1"
"2492","CHRND"
"2493","PRKY"
"2494","PLEKHA5"
"2495","NEURL3"
"2496","ZNRF3"
"2497","TMPPE"
"2498","SLC5A12"
"2499","COL5A3"
"2500","ZDHHC13"
"2501","TIMD4"
"2502","EHD2"
"2503","TNXB"
"2504","NDUFS6"
"2505","TSC2"
"2506","CHRNB1"
"2507","ABCA10"
"2508","ZSCAN21"
"2509","XIST"
"2510","KRT78"
"2511","LOC100499484"
"2512","SPON2"
"2513","SLC41A1"
"2514","SLC1A2"
"2515","FAM210A"
"2516","C12orf45"
"2517","PRSS35"
"2518","SAMD1"
"2519","RFC1"
"2520","CD101"
"2521","YTHDF3"
"2522","GPR160"
"2523","KIAA1456"
"2524","GART"
"2525","ZNF664"
"2526","IL17C"
"2527","SOX9"
"2528","HRSP12"
"2529","TRAPPC9"
"2530","ANAPC11"
"2531","DYDC2"
"2532","PPM1H"
"2533","ZAR1"
"2534","ST6GAL1"
"2535","MRPS36"
"2536","C19orf48"
"2537","TMEM132E"
"2538","RUFY1"
"2539","SNORD10"
"2540","PAEP"
"2541","SAMD8"
"2542","TRIM69"
"2543","LOC100287814"
"2544","FAM177B"
"2545","CLDN23"
"2546","C1orf49"
"2547","TPST1"
"2548","ZBTB47"
"2549","SEC22C"
"2550","LOC150381"
"2551","MMP25"
"2552","SH2D6"
"2553","TREX1"
"2554","POLR3F"
"2555","NUP62"
"2556","CLDN19"
"2557","FDCSP"
"2558","DPP3"
"2559","NAPA"
"2560","CYR61"
"2561","C7orf41"
"2562","TMPRSS4"
"2563","POM121L10P"
"2564","ACAD10"
"2565","RAPSN"
"2566","FAM181A"
"2567","PRKD3"
"2568","CXCL3"
"2569","NDUFV3"
"2570","IL6"
"2571","AHNAK"
"2572","SLC5A10"
"2573","SRSF9"
"2574","ALG13"
"2575","NSMCE2"
"2576","ANKRD2"
"2577","KLHL21"
"2578","CD19"
"2579","RPS19BP1"
"2580","NF1"
"2581","DLGAP3"
"2582","HTRA3"
"2583","C20orf29"
"2584","NAT10"
"2585","MED4"
"2586","COL12A1"
"2587","PART1"
"2588","EIF3J"
"2589","AAA1"
"2590","INMT"
"2591","HOXA6"
"2592","ANKRD52"
"2593","KIAA0430"
"2594","TMEM221"
"2595","AIG1"
"2596","ARID4A"
"2597","DNAH5"
"2598","TRAPPC11"
"2599","ZNF615"
"2600","XIRP1"
"2601","CDK4"
"2602","MLLT4-AS1"
"2603","LOC149837"
"2604","TRAPPC1"
"2605","NKTR"
"2606","LOC283143"
"2607","RPL29"
"2608","KLHL34"
"2609","LOC100506012"
"2610","SYNGR2"
"2611","ITIH6"
"2612","PKIA"
"2613","LOC100507564"
"2614","C9orf25"
"2615","ZNF44"
"2616","NEGR1"
"2617","IRAK1BP1"
"2618","POC5"
"2619","RNF139"
"2620","PDE12"
"2621","CPE"
"2622","PHF12"
"2623","LINC00525"
"2624","NECAB3"
"2625","BMX"
"2626","YWHAB"
